mission_id,scenario,deviation_at_handover_m,matched_baseline_row,match_residual_m,along_track_lag_rows,along_track_lag_m,along_track_lag_s,baseline_duration_s,mission_delay_pct,recovered_within_5m
M0369,S2,2.7165738804218043,1081,0.7913722595861437,-8,-2.557221562941436,-0.4,54.05,0.0,1
M0370,S2,7.076719034336186,590,1.686815457781819,-16,-6.917911433849326,-0.8,29.5,0.0,0
M0371,S2,2.2828201936824737,2965,1.3612220605385217,4,1.7963974814726953,0.2,148.25,0.1349072512647554,1
M0372,S2,4.602736922999787,2606,3.712696094919372,-9,-2.974769422840268,-0.45,130.3,0.0,1
M0373,S2,6.677658615803098,729,6.298305015642434,-7,-2.201478048339226,-0.35,36.45,0.0,0
M0374,S2,11.076168998920652,1564,7.830126543904637,16,7.149095847601529,0.8,78.2,1.0230179028132993,0
M0375,S2,7.500753498825408,894,6.15795806968479,11,4.035932126947046,0.55,44.7,1.2304250559284116,0
M0376,S2,5.5656311831535,2570,0.909351105086501,15,5.3710601388523855,0.75,128.5,0.5836575875486382,0
M0377,S2,1.5997789330221956,1896,0.6725765534464111,5,1.550372666743442,0.25,94.8,0.2637130801687763,1
M0378,S2,7.210888593486409,1605,1.122735188120703,15,7.370666531339111,0.75,80.25,0.9345794392523364,0
M0379,S2,4.409966530749435,742,4.250696829766286,-3,-1.2565923971725963,-0.15,37.1,0.0,1
M0380,S2,0.3662480832175526,1037,0.3662480832175526,0,0.0,0.0,51.85,0.0,1
M0381,S2,7.662206045489016,1044,1.9623049153508343,20,7.43503364186796,1.0,52.2,1.9157088122605364,0
M0382,S2,6.617369725769318,2110,3.1780069281311247,-17,-5.809355581600698,-0.8500000000000001,105.5,0.0,0
M0383,S2,10.191892092834198,1377,10.175083256867715,-1,-0.4464635382898905,-0.05,68.85000000000001,0.0,0
M0384,S2,11.270073198782448,867,0.4745439130110497,-31,-11.342242602493684,-1.55,43.35,0.0,0
M0385,S2,1.183708400093369,2206,0.6540476787019778,-2,-0.9355026304040166,-0.1,110.3,0.0,1
M0386,S2,3.677992560258648,985,3.659718493043819,1,0.5014326861726772,0.05,49.25,0.1015228426395939,1
M0387,S2,4.496489222514462,2064,0.9794868969216552,-8,-4.182797044342124,-0.4,103.2,0.0,1
M0388,S2,2.878262702794223,1991,1.013925493192846,-9,-2.7424260041290154,-0.45,99.55,0.0,1
M0389,S2,1.633105668964281,2491,1.6025485056494844,1,0.360885813505206,0.05,124.55,0.0401445202729827,1
M0390,S2,3.2906040652131545,1701,0.5858241087197775,-7,-3.4268985636681464,-0.35,85.05000000000001,0.0,1
M0391,S2,7.572453136082186,1610,7.466593791224042,-3,-1.0899975103566248,-0.15,80.5,0.0,0
M0392,S2,5.723251319440115,1998,0.466675704377858,-15,-5.7735853330227656,-0.75,99.9,0.0,0
M0393,S2,3.384495357019028,822,1.524512177694623,-7,-3.002649732534905,-0.35,41.1,0.0,1
M0394,S2,4.499475706358003,2191,1.157103022758601,10,4.425740931278369,0.5,109.55,0.4564125969876768,1
M0395,S2,2.9525771509296823,2322,0.5854001682743226,-7,-3.057220829098924,-0.35,116.1,0.0,1
M0396,S2,4.054385165930907,2285,0.4255747643881295,-9,-4.124644042624141,-0.45,114.25,0.0,1
M0397,S2,13.76969773408755,1685,1.8601840493234976,-34,-13.404776383145077,-1.7000000000000002,84.25,0.0,0
M0398,S2,11.06771568582666,2294,8.293639765097163,15,6.719621392918725,0.75,114.7,0.6538796861377506,0
M0399,S2,1.2464139977246775,854,0.6414340953207346,3,1.1557531605202485,0.15,42.7,0.351288056206089,1
M0400,S2,4.285497810939361,605,1.142602430496737,-11,-4.080335866978231,-0.55,30.25,0.0,1
M0401,S2,7.3739249606637,1364,6.728067560054618,-6,-2.999929761210637,-0.3,68.2,0.0,0
